CODIGO_ID	Fecha	MarcaMora_Tarjeta	ORIGEN_APROBACION	FORMA_PAGO	SALDO_TOTAL_TARJETA	CUPO_PROMEDIO_TARJETA	SALDO_UTILIZ_PROM_CLIENTE	CANTIDAD_TOTAL_AVANCES	ANTIGUEDAD_TARJETA_ANIOS	PROMEDIO_MENSUAL_CONSUMOS_LOCALES	MAXIMO_NUM_DIAS_VENCIDO	NUMERO_OPERACIONES_TITULAR	PROMEDIO_DIAS_SOBREGIRO_CC	PROMEDIO_MENSUAL_SALDO_CUENTA_PASIVO	MARCA_CUENTA_CORRIENTE	MARCA_CUENTA_AHORROS	RIESGO_CLIENTE_TOTAL_GFP	VALOR_DEPOSITO_A_PLAZO	SEGMENTO_RIESGO	SUCURSAL	EDAD	GENERO	INSTRUCCION	NUM_TC_SIST_FIM
12	2018-01-08	0	Proactivo	No	503.38	1983.3333	447.0066	0	7	815.61	0	4	1	1768.2421	No	No	517.79	0	A	GUAYAQUIL	23	FEM	UNI	3
13	2018-01-23	0	Proactivo	No	430.88	700	480.1383	0	7	39.6	17	3	0	0	No	No	430.88	0	A	QUITO	33	MAS	UNI	3
14	2018-01-27	0	Proactivo	No	499.2	500	543.28	4	7	70.54	9	4	0	0	No	No	499.2	0	D	GUAYAQUIL	31	FEM	PRI	4
15	2018-01-11	0	Proactivo	No	328.17	2100	319.2916	0	10	84.76	2	5	0	0	No	No	356.58	0	A	CUENCA	31	FEM	UNI	1
16	2018-01-23	0	Proactivo	No	1269.07	1400	1023.6933	0	7	19.94	15	6	0	0	No	No	1199.27	0	A	GUAYAQUIL	32	MAS	UNI	4
17	2018-01-07	0	Proactivo	No	400.55	700	417.7233	0	7	264.24	10	5	0	0	No	No	400.55	0	A	MANTA	46	FEM	SEC	0
18	2018-01-22	0	Proactivo	No	671.53	1000	707.4816	0	10	183.86	0	3	0	0	No	No	671.53	0	A	QUITO	34	MAS	UNI	1
19	2018-01-15	0	Demanda	No	276.6	700	353.3433	0	6	48.42	6	3	0	0	No	No	276.6	0	A	GUAYAQUIL	48	FEM	SEC	0
20	2018-01-26	0	Demanda	No	45.07	2266.6666	1418.7316	0	7	798.75	0	1	0	13819.6845	Si	Si	13931.8	0	A	GUAYAQUIL	26	FEM	UNI	0
21	2018-01-09	0	Demanda	No	613.37	2800	575.4933	0	7	20	32	4	0	355.2335	No	No	613.37	0	A	QUITO	31	MAS	UNI	2
22	2018-01-12	0	Proactivo	No	4640.93	5100	5217.5416	0	10	654.29	0	4	0	1268.7131	Si	Si	5235.92	0	A	QUITO	40	FEM	UNI	5
23	2018-01-08	0	Demanda	No	923.84	5416.6666	1110.67	0	6	226.87	16	1	0	2079.1021	Si	Si	743.91	0	A	GUAYAQUIL	49	FEM	SEC	0
24	2018-01-09	0	Demanda	No	373.78	3466.6666	303.815	0	6	20	0	2	0	394.4804	Si	Si	393.27	0	A	QUITO	26	MAS	UNI	2
25	2018-01-22	0	Demanda	No	2555.09	5000	4859.7433	0	6	37.47	45	6	0	0	No	No	1787.11	0	A	GUAYAQUIL	45	FEM	SEC	3
26	2018-01-20	0	Demanda	No	553.46	500	437.915	0	6	186.49	21	3	0	1119.4979	Si	Si	425.22	0	A	GUAYAQUIL	49	FEM	SEC	3
27	2018-01-28	0	Demanda	No	51.4	700	600.5866	0	6	138.54	0	1	0	1010.7119	Si	Si	51.4	0	A	GUAYAQUIL	43	MAS	UNI	2
28	2018-01-21	0	Demanda	No	712.55	4000	1132.2266	0	6	287.68	3	5	1	2147.5844	Si	Si	395.07	0	A	QUITO	34	MAS	UNI	0
29	2018-01-05	0	Proactivo	No	198.23	950	170.8283	0	7	164.08	5	2	0	0	No	No	291.07	0	A	QUITO	40	FEM	UNI	1
30	2018-01-14	0	Proactivo	No	1035.04	2100	904.3633	0	8	296.9	21	2	0	0	No	No	795.75	0	A	GUAYAQUIL	44	MAS	SEC	0
31	2018-01-29	0	Proactivo	No	501.27	500	371.12	2	7	31.13	0	7	0	0	No	No	307.92	0	A	GUAYAQUIL	45	FEM	SEC	1
32	2018-01-22	0	Proactivo	No	1569.58	2100	1789.0816	0	10	290.55	23	3	0	125.1538	Si	Si	1747.42	0	A	QUITO	40	MAS	UNI	1
33	2018-01-15	0	Proactivo	No	677.05	900	724.2183	0	7	56.66	15	5	0	350.0979	Si	Si	677.05	0	A	QUITO	46	MAS	SEC	2
34	2018-01-17	0	Proactivo	No	183.89	900	664.0066	0	10	191.04	28	3	0	35.215	Si	Si	183.89	0	A	QUITO	38	FEM	UNI	2
35	2018-01-24	0	Proactivo	No	431.84	950	370.6133	0	7	105.91	0	2	0	0	No	No	276.57	0	A	MANTA	33	MAS	UNI	3
36	2018-01-16	0	Proactivo	No	417.35	700	134.5666	0	7	149.69	0	2	0	0	No	No	417.35	0	A	QUITO	34	MAS	UNI	2
37	2018-01-23	0	Proactivo	No	570.86	700	773.9816	0	7	68.86	2	2	0	0.66	Si	Si	381.74	0	A	QUITO	36	FEM	UNI	0
38	2018-01-08	0	Proactivo	No	822.64	800	611.8966	1	10	39.5	4	4	0	-77.0195	No	No	822.64	0	A	QUITO	50	FEM	SEC	1
39	2018-01-16	0	Proactivo	No	550.64	700	566.14	0	7	19.93	13	6	0	0	No	No	550.64	0	A	QUITO	40	FEM	UNI	5
40	2018-01-08	0	Proactivo	No	1813.31	3400	2096.59	0	10	1038.84	0	1	0	0	No	No	2325.39	0	A	QUITO	49	MAS	SEC	2
41	2018-01-13	0	Proactivo	No	469.77	500	408.8783	2	7	19.93	21	6	0	0	No	No	469.77	0	A	MANTA	32	MAS	UNI	2
42	2018-01-12	0	Proactivo	No	5684.44	8200	4503.36	0	10	2060.23	0	3	0	0	No	No	5823.01	0	A	QUITO	23	FEM	UNI	4
43	2018-01-19	0	Proactivo	No	639.97	700	380.515	0	7	185.05	22	3	0	0	No	No	453.37	0	A	QUITO	29	FEM	UNI	5
44	2018-01-12	0	Demanda	Si	668.12	800	705.4383	1	6	13.34	0	6	0	232.5414	Si	Si	798.12	0	A	QUITO	46	MAS	SEC	3
45	2018-01-17	0	Demanda	Si	334.74	1800	716.6166	0	6	46.9	9	3	0	145.2048	No	No	223.15	0	A	SANTO DOMINGO	31	MAS	UNI	1
46	2018-01-26	0	Demanda	No	1892.59	1500	1303.9283	13	6	166.91	8	7	3	10.3537	No	No	9443.49	0	B	MANTA	39	MAS	UNI	3
47	2018-01-25	0	Demanda	No	485.42	500	463.4016	6	6	13.34	29	2	0	7.29	Si	Si	485.42	0	B	IBARRA	46	MAS	SEC	1
48	2018-01-17	0	Proactivo	No	1957.42	8166.6666	3808.6583	0	10	506.15	0	2	0	6654.8595	Si	Si	2411.5	0	A	QUITO	27	MAS	UNI	5
49	2018-01-04	0	Demanda	No	1741.41	2000	1942.3883	0	6	242.73	7	4	0	394.7925	Si	Si	1764.3	0	A	IBARRA	35	MAS	UNI	0
50	2018-01-30	0	Proactivo	Si	325.79	3433.3333	2326.19	0	7	149.9	0	1	0	251.2495	No	No	524.79	0	A	ESMERALDAS	24	MAS	UNI	5
51	2018-01-15	0	Proactivo	Si	2560.68	3100	686.1866	0	7	33.6	3	1	0	1399.2857	No	No	2560.68	0	A	AMBATO	24	MAS	UNI	4
52	2018-01-17	0	Proactivo	Si	1620.02	4700	3438.845	0	7	259.83	10	2	10	-1.701	No	No	4431.38	0	A	QUITO	34	FEM	UNI	2
53	2018-01-06	0	Demanda	Si	1624.51	1600	1132.4783	0	6	173.29	0	7	5	1289.9138	Si	Si	1435.65	0	A	QUITO	27	MAS	UNI	1
54	2018-01-28	1	Demanda	No	889.72	900	507.7916	5	6	19.93	2	6	0	0	No	No	712.88	0	A	QUITO	26	MAS	UNI	1
55	2018-01-07	0	Demanda	Si	329.37	1133.3333	704.2533	0	6	102.5	22	3	5	97.387	No	No	404.69	0	A	QUITO	23	MAS	UNI	2
56	2018-01-15	0	Demanda	No	897.96	1500	518.3483	0	6	94.94	0	2	0	0	No	No	897.96	0	A	AMBATO	26	FEM	UNI	4
57	2018-01-12	0	Demanda	Si	1008.94	933.3333	858.3733	3	6	20.84	0	1	0	59.0132	Si	Si	1008.94	0	A	GUAYAQUIL	50	FEM	SEC	2
58	2018-01-11	0	Demanda	No	4531.05	8916.6666	3272.655	0	6	692.52	26	1	1	6788.8557	Si	Si	12037.92	0	A	GUAYAQUIL	43	MAS	UNI	1
59	2018-01-10	0	Demanda	Si	7516.34	5300	1592.9616	0	6	634.54	16	3	1	2569.5517	Si	Si	7526.32	0	A	IBARRA	49	MAS	SEC	0
60	2018-01-01	0	Demanda	Si	220.1	800	109.455	0	6	13.34	39	1	0	213.3123	Si	Si	220.09	0	B	QUITO	28	MAS	UNI	5
61	2018-01-11	0	Demanda	Si	4334.9	4416.6666	3555.835	0	6	847.03	0	3	1	1780.3261	Si	Si	4000	0	A	QUITO	25	MAS	UNI	5
62	2018-01-23	0	Demanda	Si	148.91	1000	483.2066	0	6	290.75	9	3	0	17452.8186	Si	Si	31780.67	2084.01	A	GUAYAQUIL	26	MAS	UNI	1
63	2018-01-08	0	Demanda	Si	700	700	455.7566	2	6	35.34	14	3	0	26.1381	Si	Si	700	0	B	QUITO	28	FEM	UNI	3
64	2018-01-29	0	Demanda	Si	2105.03	3600	1126.6233	0	6	348.53	17	3	2	9394.1096	No	No	2105.03	0	A	QUITO	36	FEM	UNI	1
65	2018-01-31	0	Demanda	Si	1915.56	2766.6666	2059.525	0	6	413.04	28	5	0	514.79	No	No	18541.13	0	A	QUITO	33	FEM	UNI	2
66	2018-01-13	0	Demanda	Si	6591.69	21150	888.38	0	6	2031.78	0	3	0	18771.8246	Si	Si	38432.65	0	A	QUITO	39	MAS	UNI	2
67	2018-01-22	0	Demanda	No	3571.89	4000	3666.4733	0	6	274.99	23	5	0	32.3275	No	No	3745.21	0	A	QUITO	30	MAS	UNI	4
68	2018-01-18	0	Demanda	Si	2933.09	5000	4612.485	0	6	79.25	27	5	5	631.4632	No	No	2933.09	0	A	GUAYAQUIL	45	MAS	SEC	3
69	2018-01-16	0	Demanda	No	8643.72	9600	8688.6366	0	6	7486.9	3	5	0	0	No	No	8779.35	0	A	GUAYAQUIL	31	MAS	UNI	3
70	2018-01-25	0	Demanda	No	313.05	2066.6666	590.84	0	6	87.64	0	5	0	149.0765	Si	Si	313.05	0	A	QUITO	27	FEM	UNI	2
71	2018-01-05	0	Demanda	No	829.17	9450	1878.1383	0	6	0	46	2	0	22476.0854	Si	Si	829.17	0	A	QUITO	43	FEM	UNI	1
72	2018-01-12	0	Demanda	Si	677.27	1000	936.6966	0	6	39.98	30	4	0	538.8184	Si	Si	677.27	0	A	QUITO	36	MAS	UNI	2
73	2018-01-17	0	Demanda	No	0	5000	4904.3533	3	6	20	0	3	0	9323.6245	Si	Si	19249.63	0	A	GUAYAQUIL	27	MAS	UNI	4
74	2018-01-17	0	Proactivo	No	282.19	950	437.4333	0	6	300.24	1	1	0	0	No	No	543.13	7425.98	A	QUITO	29	MAS	UNI	4
75	2018-01-30	0	Proactivo	No	234.01	700	254.7616	0	6	161.1	0	7	0	0	No	No	234.01	0	A	AMBATO	30	MAS	UNI	2
76	2018-01-30	0	Proactivo	No	1028.28	1200	778.9133	0	8	174.81	0	5	0	0	No	No	898.35	0	A	GUAYAQUIL	38	FEM	UNI	3
77	2018-01-27	0	Proactivo	No	225.38	2300	1731.1	0	10	164.24	3	2	0	0	No	No	225.38	0	A	QUITO	49	FEM	SEC	4
78	2018-01-31	0	Proactivo	No	2640.72	3900	3098.6233	0	6	42.48	17	6	5	1111.8266	Si	Si	3179.16	0	B	GUAYAQUIL	45	MAS	SEC	4
79	2018-01-01	0	Proactivo	No	453.65	500	316.3433	0	6	37.25	10	2	0	0	No	No	453.65	0	A	QUITO	28	MAS	UNI	0
80	2018-01-11	0	Proactivo	No	396.8	900	115.2466	0	10	105	4	2	0	0	No	No	396.8	0	A	QUITO	50	MAS	SEC	2
81	2018-01-13	0	Proactivo	No	255.46	616.6666	568.35	0	6	71.27	24	5	0	0	No	No	255.46	0	A	GUAYAQUIL	48	MAS	SEC	5
82	2018-01-30	0	Proactivo	No	777.74	950	610.33	0	6	469.71	0	1	0	71.3818	Si	Si	465.67	0	A	QUITO	25	MAS	UNI	0
83	2018-01-15	1	Proactivo	No	262.05	333.3333	207.7266	0	6	19.93	50	2	0	0	No	No	262.05	0	A	QUITO	24	MAS	UNI	1
84	2018-01-14	0	Proactivo	No	399.13	700	309.585	0	6	204.29	29	2	0	0	No	No	399.13	0	A	CUENCA	38	MAS	UNI	3
85	2018-01-20	0	Proactivo	No	303.25	500	477.115	3	6	189.73	15	3	0	310.4583	Si	Si	403.25	0	A	QUITO	30	MAS	UNI	4
86	2018-01-01	0	Proactivo	No	2062.79	2900	1810.07	0	10	182.28	0	4	0	0	No	No	2062.79	0	A	QUITO	39	MAS	UNI	1
87	2018-01-29	0	Proactivo	No	52.63	800	117.545	0	6	67.93	14	3	0	0	No	No	0	0	A	QUITO	29	MAS	UNI	1
88	2018-01-21	0	Proactivo	No	964.14	950	805.355	0	6	52.81	0	3	0	1608.6145	Si	Si	915.8	0	A	QUITO	46	FEM	SEC	3
89	2018-01-14	0	Proactivo	No	706.39	900	974.1766	0	8	19.93	0	3	0	0	No	No	736.44	0	A	MANTA	34	MAS	UNI	3
90	2018-01-25	0	Proactivo	No	438.26	600	620.2433	0	6	53.53	9	1	0	0	No	No	438.26	0	A	MANTA	47	MAS	SEC	1
91	2018-01-11	0	Proactivo	Si	2902.15	3333.3333	1632.015	0	6	250.62	29	1	1	1965.3243	Si	Si	2902.15	4208.95	A	QUITO	33	MAS	UNI	5
92	2018-01-29	0	Demanda	No	2236.35	3000	625.4783	0	6	67.65	21	3	5	498.7884	No	No	3362.71	0	A	GUAYAQUIL	49	FEM	SEC	1
93	2018-01-14	0	Demanda	Si	2277.76	8200	4899.0583	0	6	78.3	25	5	0	9434.3746	No	No	4844.69	40000	A	GUAYAQUIL	27	MAS	UNI	5
94	2018-01-28	0	Demanda	No	1283.15	3600	1029.8983	2	6	2601.16	0	1	0	1186.1228	Si	Si	1315.93	0	A	QUITO	27	MAS	UNI	0
95	2018-01-11	0	Demanda	No	1333.29	2200	1957.75	0	6	298.76	21	5	0	0	No	No	1279.8	0	A	AMBATO	33	FEM	UNI	1
96	2018-01-18	0	Demanda	No	2771.28	2600	1986.8483	0	6	334.39	10	3	0	6.24	Si	Si	2771.28	0	A	QUITO	34	MAS	UNI	2
97	2018-01-03	0	Demanda	No	1734.36	2000	972.2	0	6	20	38	3	0	56.9676	Si	Si	1547.02	0	A	QUITO	37	FEM	UNI	5
98	2018-01-03	0	Demanda	Si	1835.71	2000	1755.1133	0	6	267.61	53	8	0	0	No	No	1786.6	0	A	GUAYAQUIL	34	FEM	UNI	0
99	2018-01-23	0	Demanda	Si	364.11	600	154.88	0	6	168.8	1	1	0	489.9377	Si	Si	364.11	0	A	QUITO	28	FEM	UNI	2
100	2018-01-19	0	Demanda	Si	2602.99	4916.6666	1503.285	0	6	120.09	0	1	0	9700.3018	No	No	2602.99	0	A	QUITO	44	MAS	SEC	4
101	2018-01-22	0	Demanda	No	638.8	700	720.655	0	6	121.5	0	7	0	142.0542	Si	Si	638.8	0	A	GUAYAQUIL	24	FEM	UNI	2
102	2018-01-28	0	Demanda	Si	2543.58	3800	2926.4316	0	6	394.69	6	1	13	14881.9114	Si	Si	6216.4	0	A	QUITO	38	MAS	UNI	3
103	2018-01-11	0	Demanda	No	1697.12	3000	0	0	6	20	34	3	0	4211.8151	No	No	2343.28	0	A	GUAYAQUIL	50	MAS	SEC	3
104	2018-01-19	0	Demanda	Si	879.04	1000	1005.4866	0	6	13.33	0	4	0	600.824	Si	Si	2273.2	0	A	GUAYAQUIL	31	FEM	UNI	0
105	2018-01-26	0	Demanda	No	708.44	2800	466.0983	0	6	75.97	6	4	0	1368.5319	Si	Si	662.73	17200	A	QUITO	37	FEM	UNI	0
106	2018-01-26	0	Demanda	No	2821.2	3400	2353.005	0	6	20	21	1	0	0	No	No	2867.4	0	A	GUAYAQUIL	23	MAS	UNI	5
107	2018-01-02	0	Demanda	Si	585.11	600	537.7433	0	6	382.24	21	3	0	216.541	Si	Si	412.07	0	A	QUITO	49	FEM	SEC	0
108	2018-01-24	0	Demanda	Si	4121.62	5400	2815.7833	9	6	268.05	16	3	0	1332.9225	No	No	50811	0	A	QUITO	50	MAS	SEC	3
109	2018-01-02	0	Demanda	No	6225.15	5600	5646.8	0	6	559.17	2	6	0	281.2943	Si	Si	25188.83	0	A	GUAYAQUIL	33	MAS	UNI	4
110	2018-01-12	0	Demanda	No	939.58	12500	1950.72	0	6	337.25	25	2	0	10707.5586	Si	Si	1284.09	0	A	QUITO	31	MAS	UNI	3
111	2018-01-28	0	Demanda	No	1057.88	1033.3333	801.1366	0	6	106.25	3	3	0	188.4703	No	No	1273.87	0	A	GUAYAQUIL	46	MAS	SEC	4
112	2018-01-12	0	Demanda	No	7645.65	7700	3335.1083	5	6	26.67	22	2	7	1355.8281	Si	Si	7600.75	0	A	QUITO	38	FEM	UNI	4
113	2018-01-14	0	Demanda	No	3328.62	3883.3333	3145.985	0	6	685.15	16	2	0	1130.7731	Si	Si	10635.71	0	A	GUAYAQUIL	27	MAS	UNI	1
114	2018-01-21	0	Demanda	No	808.27	800	688.205	0	6	171.03	1	4	0	801.5234	Si	Si	10761.54	0	A	AMBATO	33	FEM	UNI	3
115	2018-01-22	0	Demanda	No	5429.67	6900	4946.9133	0	6	2924.69	16	4	0	36056.2573	No	No	5720.55	0	A	GUAYAQUIL	29	FEM	UNI	1
116	2018-01-24	0	Demanda	Si	4993.96	4400	5030.9916	0	6	239.93	0	5	3	782.7316	Si	Si	5051.89	0	A	QUITO	42	FEM	UNI	0
117	2018-01-01	0	Proactivo	Si	2326.38	6800	3051.205	0	6	20	25	4	0	2937.7984	No	No	30316.09	0	A	QUITO	30	FEM	UNI	1
118	2018-01-10	0	Proactivo	No	925.19	4200	842.02	0	6	342.53	0	5	0	2159.3567	Si	Si	1081.68	0	A	CUENCA	50	MAS	SEC	2
119	2018-01-11	0	Demanda	Si	2710.63	5100	2583.27	5	6	20	25	6	1	82.7034	No	No	6929.62	0	A	GUAYAQUIL	28	MAS	UNI	2
120	2018-01-31	0	Demanda	No	3262.39	11200	7905.4733	0	6	119.86	0	3	0	0	No	No	19174.86	0	A	GUAYAQUIL	31	FEM	UNI	5
121	2018-01-04	0	Demanda	Si	1558.48	2100	1887.9783	0	6	113.9	20	8	0	0	No	No	1558.48	0	E	SANTO DOMINGO	28	FEM	PRI	1
122	2018-01-12	0	Demanda	No	173.09	6900	1359.4733	0	6	477.92	0	3	0	640.734	No	No	76.69	0	A	QUITO	40	FEM	UNI	3
123	2018-01-05	0	Demanda	No	2127.23	7400	1148.9483	0	6	1260.59	4	2	0	2918.093	Si	Si	856.15	30584.94	A	CUENCA	32	MAS	UNI	2
124	2018-01-31	0	Demanda	Si	231.89	2066.6666	613.32	0	6	183.75	0	3	6	1418.2497	Si	Si	351.28	0	A	QUITO	35	FEM	UNI	1
125	2018-01-02	0	Demanda	Si	1503.8	2066.6666	428.385	0	6	19.93	0	2	0	35.8379	Si	Si	2022.62	0	A	QUITO	49	MAS	SEC	1
126	2018-01-06	0	Demanda	Si	330.17	2000	926.64	0	6	178.14	0	1	0	889.2133	Si	Si	330.17	0	A	QUITO	50	MAS	SEC	4
127	2018-01-17	0	Demanda	No	3869.54	4200	4037.325	0	6	305.34	9	2	1	100.1712	No	No	4018.54	0	A	QUITO	41	MAS	UNI	3
128	2018-01-28	0	Demanda	No	263.9	2100	906.9883	0	6	132.24	7	4	0	1965.9497	No	No	336.39	0	A	QUITO	47	MAS	SEC	4
129	2018-01-29	0	Proactivo	No	1617.05	10000	267.515	0	6	151.9	1	2	0	1558.3684	No	No	1617.05	0	A	QUITO	30	MAS	UNI	3
130	2018-01-21	0	Proactivo	Si	1366.05	3650	1682.57	0	6	269.17	1	1	4	150.9799	No	No	1366.05	0	A	QUITO	38	FEM	UNI	5
131	2018-01-22	0	Proactivo	No	1067.7	900	712.4833	4	8	103.93	1	7	0	32.3673	Si	Si	1067.7	0	A	AMBATO	42	FEM	UNI	4
132	2018-01-10	0	Proactivo	Si	794.79	14600	476.5483	0	6	475.59	0	3	0	1877.9317	No	No	794.79	0	E	QUITO	33	MAS	PRI	2
133	2018-01-14	0	Proactivo	Si	5771.49	6600	5592.5766	0	6	823.7	0	3	0	45771.759	Si	Si	16620.12	500673.75	A	GUAYAQUIL	47	MAS	SEC	3
134	2018-01-04	0	Proactivo	No	2671.42	7300	551.355	0	6	259.24	31	4	0	2446.9192	No	No	2671.42	0	A	QUITO	28	FEM	UNI	3
135	2018-01-07	0	Demanda	Si	429.22	1000	474.9	0	6	301.28	1	3	0	9087.6209	Si	Si	648.15	0	A	GUAYAQUIL	24	FEM	UNI	1
136	2018-01-04	0	Demanda	No	354.79	966.6666	324.9466	0	6	205.29	0	2	0	0	No	No	354.79	0	A	CUENCA	44	MAS	SEC	0
137	2018-01-27	0	Demanda	Si	484.91	500	414.27	0	6	0	9	2	3	42.7355	No	No	484.91	0	B	GUAYAQUIL	26	MAS	UNI	2
138	2018-01-14	0	Demanda	No	1067.01	1800	390.5883	0	6	150.29	0	4	0	8185.6642	Si	Si	5860.13	0	A	MANTA	29	MAS	UNI	5
139	2018-01-07	0	Demanda	Si	585.45	600	556.1666	0	6	16.79	17	2	0	3266.142	Si	Si	598.55	0	A	GUAYAQUIL	23	MAS	UNI	0
140	2018-01-01	0	Proactivo	No	136.91	700	559.0966	0	6	302.73	21	4	0	0	No	No	0	0	A	GUAYAQUIL	38	MAS	UNI	2
141	2018-01-12	0	Proactivo	No	437.1	700	676.1783	0	6	133.93	0	4	0	0	No	No	437.1	0	A	QUITO	37	FEM	UNI	0
142	2018-01-23	0	Proactivo	No	387.13	500	350.7166	2	6	55.96	62	2	0	0	No	No	403.78	0	A	QUITO	44	MAS	SEC	4
143	2018-01-14	0	Proactivo	No	1286.45	2100	1484.1016	0	10	0	8	3	0	0	No	No	1322	0	A	QUITO	32	MAS	UNI	1
144	2018-01-20	0	Proactivo	No	51.57	1000	278.59	0	10	35.46	2	1	0	0	No	No	51.57	0	A	QUITO	30	MAS	UNI	0
145	2018-01-21	0	Proactivo	No	88.73	700	383.1966	0	6	63.59	0	2	0	0	No	No	223.96	0	A	QUITO	36	MAS	UNI	4
146	2018-01-04	0	Proactivo	No	65.29	900	66.9716	0	10	0	0	1	0	0	No	No	65.29	0	A	QUITO	50	MAS	SEC	3
147	2018-01-05	0	Proactivo	No	275.73	700	517.6883	0	6	131.96	41	2	0	0	No	No	275.73	0	B	QUITO	29	MAS	UNI	0
148	2018-01-01	0	Proactivo	No	4675.32	7800	6046.8116	0	10	429.36	17	4	0	0	No	No	4675.32	0	A	QUITO	41	MAS	UNI	1
149	2018-01-22	0	Proactivo	No	471.26	500	372.2666	1	10	0	58	3	0	0	No	No	471.26	0	A	QUITO	42	MAS	UNI	0
150	2018-01-27	0	Proactivo	No	281.54	1183.3333	886.5933	0	10	90.69	20	2	0	0	No	No	210.16	0	A	QUITO	37	MAS	UNI	0
151	2018-01-04	0	Demanda	No	398.52	1200	715.5033	0	6	226	31	5	0	0.89	Si	Si	398.52	0	A	IBARRA	42	FEM	UNI	2
152	2018-01-11	0	Demanda	No	4969.69	5000	4305.7866	0	6	130.23	23	4	0	0	No	No	11840.27	0	C	QUITO	27	FEM	PRI	3
153	2018-01-13	0	Demanda	Si	1830.47	5416.6666	2618.86	0	6	1710.89	9	1	0	12705.1867	Si	Si	865.82	0	A	QUITO	23	MAS	UNI	3
154	2018-01-05	0	Demanda	Si	749.45	3700	59.43	0	6	20	0	1	0	147.3562	Si	Si	749.45	0	A	QUITO	27	MAS	UNI	3
155	2018-01-01	0	Demanda	Si	545.93	6000	3227.44	0	6	548.33	14	1	2	1897.9512	Si	Si	619.66	0	A	QUITO	24	MAS	UNI	2
156	2018-01-03	0	Demanda	Si	2369.99	6700	3301.0316	0	6	721.93	0	2	0	3869.1437	Si	Si	2369.99	0	A	GUAYAQUIL	43	FEM	UNI	4
157	2018-01-31	0	Demanda	Si	958.31	950	879.6633	0	6	13.33	0	3	0	394.4436	Si	Si	2377.14	0	E	GUAYAQUIL	38	FEM	PRI	5
158	2018-01-01	0	Demanda	Si	1973.81	2900	1303.26	0	6	80.46	28	3	0	464.5334	No	No	1678.35	0	A	GUAYAQUIL	25	MAS	UNI	0
159	2018-01-01	0	Demanda	No	1088.1	3200	635.98	0	6	306.28	0	2	0	7154.2266	No	No	1359.44	0	A	QUITO	37	FEM	UNI	4
160	2018-01-30	0	Demanda	No	2770.43	9200	4553.3233	0	6	309.9	0	5	0	1964.9013	No	No	2403.71	0	A	QUITO	49	MAS	SEC	4
161	2018-01-11	0	Demanda	No	609.35	1400	1132.3883	0	6	125.63	0	8	0	0	No	No	609.35	0	A	GUAYAQUIL	45	MAS	SEC	4
162	2018-01-12	0	Demanda	No	2342.48	2000	1585.8483	0	6	1202.1	14	3	0	0	No	No	2342.48	0	A	QUITO	29	MAS	UNI	1
